semantic_row_id,modeling_row_id,publication_country,publication_source,publication_year,publication_reference_id,publication_group
0,0,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
1,1,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
2,2,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
3,3,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
4,4,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
5,5,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
6,6,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
7,7,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
8,8,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
9,9,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
10,10,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
11,11,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
12,12,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
13,13,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
14,14,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
15,15,,shared_semantic_dataset,,Ref-1-data,Ref-1-data
19,19,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
20,20,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
21,21,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
22,22,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
23,23,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
24,24,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
25,25,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
26,26,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
27,27,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
28,28,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
29,29,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
30,30,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
31,31,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
32,32,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
33,33,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
34,34,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
35,35,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
36,36,,shared_semantic_dataset,,Ref-3-Research,Ref-3-Research
57,57,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
58,58,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
59,59,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
60,60,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
61,61,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
62,62,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
63,63,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
64,64,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
65,65,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
66,66,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
67,67,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
68,68,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
69,69,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
70,70,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
71,71,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
72,72,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
73,73,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
74,74,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
75,75,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
76,76,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
77,77,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
78,78,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
79,79,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
80,80,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
81,81,,shared_semantic_dataset,,Ref-5-Research,Ref-5-Research
82,82,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
83,83,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
84,84,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
85,85,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
86,86,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
87,87,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
88,88,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
89,89,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
90,90,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
91,91,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
92,92,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
93,93,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
94,94,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
95,95,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
96,96,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
97,97,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
98,98,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
99,99,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
100,100,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
101,101,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
102,102,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
103,103,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
104,104,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
105,105,,shared_semantic_dataset,,Ref-6-Research,Ref-6-Research
106,106,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
107,107,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
108,108,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
109,109,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
110,110,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
111,111,,shared_semantic_dataset,,Ref-7-Research,Ref-7-Research
112,112,,shared_semantic_dataset,,Ref-8-Research,Ref-8-Research
113,113,,shared_semantic_dataset,,Ref-8-Research,Ref-8-Research
114,114,,shared_semantic_dataset,,Ref-8-Research,Ref-8-Research
115,115,,shared_semantic_dataset,,Ref-8-Research,Ref-8-Research
120,120,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
121,121,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
122,122,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
123,123,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
124,124,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
125,125,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
126,126,,shared_semantic_dataset,,Ref-10-Research,Ref-10-Research
