cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d,reference
839.0,OPC_I,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,925.0,,,147.0,PCE_SP,59.33,Standard Curing,,132.0,Ref-1-data
839.0,OPC_I,104.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,931.0,,,147.0,PCE_SP,59.33,Standard Curing,,122.5,Ref-1-data
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,931.0,,,147.0,PCE_SP,62.15,Standard Curing,,116.0,Ref-1-data
839.0,OPC_I,104.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,,,147.0,PCE_SP,64.98,Standard Curing,,134.0,Ref-1-data
839.0,OPC_I,104.0,26.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,,,147.0,PCE_SP,64.98,Standard Curing,,131.5,Ref-1-data
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,,,147.0,PCE_SP,67.8,Standard Curing,,130.5,Ref-1-data
839.0,OPC_I,104.0,83.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,,,147.0,PCE_SP,59.33,Standard Curing,,134.5,Ref-1-data
839.0,OPC_I,104.0,62.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,,,147.0,PCE_SP,62.15,Standard Curing,,132.5,Ref-1-data
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,926.0,,,147.0,PCE_SP,64.98,Standard Curing,,123.0,Ref-1-data
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,923.0,,,147.0,PCE_SP,67.8,Standard Curing,,131.0,Ref-1-data
839.0,OPC_I,94.0,0.0,0.0,0.0,0.0,0.0,94.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,,,147.0,PCE_SP,67.8,Standard Curing,,130.0,Ref-1-data
755.0,OPC_I,94.0,0.0,0.0,0.0,0.0,0.0,94.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,,,147.0,PCE_SP,64.98,Standard Curing,,111.5,Ref-1-data
839.0,OPC_I,78.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,940.0,,,147.0,PCE_SP,62.15,Standard Curing,,119.0,Ref-1-data
839.0,OPC_I,78.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,,,147.0,PCE_SP,64.98,Standard Curing,,121.0,Ref-1-data
839.0,OPC_I,52.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,,,147.0,PCE_SP,62.15,Standard Curing,,116.0,Ref-1-data
856.0,OPC_42.5,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,24.6,Standard Curing,20.0,157.0,Ref-2-Research
589.0,OPC_42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,16.1,Standard Curing,20.0,164.0,Ref-2-Research
375.0,OPC_42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,9.1,Standard Curing,20.0,144.0,Ref-2-Research
1000.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,162.0,Ref-3-Research
900.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,167.0,Ref-3-Research
800.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,157.0,Ref-3-Research
700.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,156.0,Ref-3-Research
500.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0,Ref-3-Research
300.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,132.0,Ref-3-Research
1000.0,OPC_52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,168.0,Ref-3-Research
1000.0,OPC_52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0,Ref-3-Research
